student,project_id,project_label,initial_choice
Aaron HUMBERT,P1,Data Cleaning,1
Adam FOURNIER,P5,Time Series Forecasting,1
Agathe DUPUIS,P10,Computer Vision,1
Alice MARTIN,P1,Data Cleaning,2
Amandine RENARD,P9,Web Analytics,1
Ambre FABRE,P4,NLP Chatbot,1
Anaïs LÉFÈVRE,P4,NLP Chatbot,1
Antoine PERROT,P2,Recommender System,1
Arthur DAVID,P7,Reinforcement Learning,1
Aya MARTINEZ,P10,Computer Vision,1
Baptiste LEGRAND,P11,Graph Mining,1
Camille SIMON,P5,Time Series Forecasting,2
Chloé ROBERT,P4,NLP Chatbot,3
Clara CARON,P13,Edge AI,1
Clément MARCHAND,P13,Edge AI,1
Eliott CHARPENTIER,P1,Data Cleaning,1
Emma DUBOIS,P2,Recommender System,1
Enzo PAUL,P11,Graph Mining,1
Ethan GIRARD,P2,Recommender System,1
Gabriel PETIT,P4,NLP Chatbot,3
Hugo THOMAS,P2,Recommender System,1
Inès GARCIA,P7,Reinforcement Learning,1
Iris BLANCHARD,P3,Image Classification,1
Jade COLIN,P11,Graph Mining,1
Jeanne BERTRAND,P5,Time Series Forecasting,1
Jules LAURENT,P7,Reinforcement Learning,1
Justine LOPES,P8,Optimization Engine,1
Lila GAUTIER,P12,AutoML Pipeline,1
Lina MOREL,P1,Data Cleaning,1
Louis DURAND,P3,Image Classification,1
Lucas BERNARD,P1,Data Cleaning,2
Lucie NOËL,P1,Data Cleaning,1
Léa RICHARD,P3,Image Classification,1
Manon LEROY,P3,Image Classification,1
Marion DUMAS,P8,Optimization Engine,2
Marius MATHIEU,P2,Recommender System,1
Maxime MULLER,P4,NLP Chatbot,1
Maël ANDRÉ,P3,Image Classification,1
Maëlle BOUCHET,P12,AutoML Pipeline,1
Mila DUPONT,P6,Anomaly Detection,1
Nathan MOREAU,P5,Time Series Forecasting,2
Nina BARBIER,P2,Recommender System,1
Nino OLIVIER,P6,Anomaly Detection,1
Noa NAVARRO,P9,Web Analytics,1
Noé ROUX,P5,Time Series Forecasting,1
Océane GUERIN,P13,Edge AI,1
Oscar BOYER,P10,Computer Vision,1
Pauline GAUTHIER,P6,Anomaly Detection,2
Raphaël MERCIER,P6,Anomaly Detection,2
Romane GONZALEZ,P4,NLP Chatbot,2
Sacha FRANÇOIS,P9,Web Analytics,1
Salomé COUSIN,P6,Anomaly Detection,1
Sarah LEFEBVRE,P7,Reinforcement Learning,1
Théo FONTANA,P12,AutoML Pipeline,1
Timéo PIRES,P6,Anomaly Detection,2
Tom MICHEL,P7,Reinforcement Learning,1
Valentin CHARLES,P3,Image Classification,1
Victor LAMBERT,P8,Optimization Engine,2
Yanis RENAUD,P8,Optimization Engine,1
Zoé VINCENT,P5,Time Series Forecasting,1
Élise BONNET,P8,Optimization Engine,1
Émile REY,P7,Reinforcement Learning,1
